Key,English,Simplified Chinese,Traditional Chinese
howto_facilities1,"You can access port facilities using the menu to the right side of the screen. Now, at the Silberblum Trading Company HQ, you have access to <style=""gold"">the Hangar</style>, <style=""gold"">the Warehouse</style>, <style=""gold"">Miss Agatha's office</style> and <style=""gold"">the Shipyard</style>. The HQ is one of many ports you can resupply and find out more about the Segson Archipelago and the Suthseg Kingdom. Each port is different. You should always explore every possible option in ports before you leave.","您可以通过屏幕右侧的菜单访问港口设施，当前处于斯波布鲁总部，您可以查看<style=""gold"">舰船库</style>，<style=""gold"">仓库</style>，<style=""gold"">阿加莎夫人的办公室</style>以及<style=""gold"">造船厂</style>。斯波布鲁总部仅是供您补给的众多港口之一，您可在塞格森群岛以及萨斯赛克王国境内寻找到更多。每个港口都有其区别，在您启航离开之前，应该尝试探索关于港口的每个可能性。","您可以通過螢幕右側的菜單訪問港口設施，當前處於斯波布魯總部，您可以查看<style=""gold"">艦船庫</style>，<style=""gold"">倉庫</style>，<style=""gold"">阿加莎夫人的辦公室</style>以及<style=""gold"">造船廠</style>。斯波布魯總部僅是供您補給的眾多港口之一，您可在塞格森群島以及薩斯賽克王國境內尋找到更多。每個港口都有其區別，在您啟航離開之前，應該嘗試探索關於港口的每個可能性。"
howto_career_head,CAREER OPTIONS,职业选择,職業選擇
howto_career1,Check out your career progression by examine everything you own.,通过您所拥有的一切，确定您的职业发展。,通過您所擁有的一切，確定您的職業發展。
howto_airshipfitting1,"You will be able to refit your ship which is an <style=""gold"">Airframe</style> holding multiple parts together.Within the airframe, there are 6 types of <style=""gold"">grid</style> capable of housing different types of parts. You can  pick up parts from the tray to the left and grids would change to green, yellow and red highlights. These colors mean whether you can/cannot place the part onto the grid or which grid is currently occupied.","您可以按照喜好改装自己的飞艇，一架<style=""gold"">飞艇</style>是由多个零件组装而成的，共有6种<style=""gold"">格位</style>，以容纳不同类型的零部件。您可以从左侧选择零件，格位将显示为绿色/黄色/红色，不同的颜色表示您是否可以将该零件放置于此格位中，或该零件当前已占用了哪个格位。","您可以按照喜好改裝自己的飛艇，一架<style=""gold"">飛艇</style>是由多個零件組裝而成的，共有6種<style=""gold"">格位</style>，以容納不同類型的零部件。您可以從左側選擇零件，格位將顯示為綠色/黃色/紅色，不同的顏色表示您是否可以將該零件放置於此格位中，或該零件當前已佔用了哪個格位。"
howto_airshipfitting2,"Parts can be placed into their compatible grid types 
*with some placement restrictions","某些零件可被放置于兼容格位中
*存在一些放置条件","某些零件可被放置於相容格位中
*存在一些放置條件"
howto_airshipfitting3,Follow the checklist and press “Finish”,按照检查表安装完成后点击“完成”,按照檢查表安裝完成後點擊“完成”
howto_airshipparameters1,"1) Mana Shield -                                          Some ships have forcefield that could block attacks
2) Ship’s Integrity  -                                    A combined amount of integrity from all parts onboard
3) Power -                                                    Power plants produce power while other parts utilize them
4) Propulsion Force -                                 A combined output of all drives onboard in Newton
5) Crew Onboard  -                                    A combined amount of crew needed to operate ship parts
6) Crew's Morale -                                     Officers need morale to issue commands
7) Total Firepower -                                   A combined number of firepower on all weapons onboard
8) Weight, Speed, and Turn -                    Weight and propulsion output determines ships performance
9) Fleet's Supplies -                                   Amount of Ammo, fuel and Materials stored that is share among fleet members
10) Cargo Space and Repair Team -        Cargo capacity and the amount of part that can be repaired at the same time","1) 魔法护盾——某些飞艇拥有可用于阻挡攻击的无形力障区
2) 飞艇完整度——全部零部件的综合完整程度
3) 动力——能源装置会提供动力，其他部分则消耗动力
4) 推动力——飞艇上所有驱动装置的综合输出能力，单位为牛顿
5) 飞艇船员——操作飞艇部件所需的船员总数
6) 船员士气——军官发布命令需要一定的士气要求
7) 总火力——飞艇所有武器的火力输出总和
8) 重量、速度以及转动灵活性——飞艇的重量和推动力输出决定了飞艇性能
9) 舰队物资——存储的弹药、燃料以及材料数量，可供舰队成员共享
10) 货舱空间及维修团队——表示货物储存容量以及可被同时修复的零件数量","1) 魔法護盾——某些飛艇擁有可用於阻擋攻擊的無形力障區
2) 飛艇完整度——全部零部件的綜合完整程度
3) 動力——能源裝置會提供動力，其他部分則消耗動力
4) 推動力——飛艇上所有驅動裝置的綜合輸出能力，單位為牛頓
5) 飛艇船員——操作飛艇部件所需的船員總數
6) 船員士氣——軍官發佈命令需要一定的士氣要求
7) 總火力——飛艇所有武器的火力輸出總和
8) 重量、速度以及轉動靈活性——飛艇的重量和推動力輸出決定了飛艇性能
9) 艦隊物資——存儲的彈藥、燃料以及材料數量，可供艦隊成員共用
10) 貨艙空間及維修團隊——表示貨物儲存容量以及可被同時修復的零件數量"
howto_airshipparameters2,"Airships are complex machines comprised of numerous parts. With each part added onboard, the ship's performance undergoes changes. Conversely, during battle, if a ship part is destroyed, the ship loses performance corresponding to the contribution of the lost part. Here are the ship performance parameters:",飞艇是由许多部件组成的复杂机器，您在飞艇上放置的每一个零部件都会影响飞艇的对应性能。在战斗中，若一个零部件被彻底摧毁，飞艇将失去该部分增加的性能优势。以下是具体的飞艇性能参数：,飛艇是由許多部件組成的複雜機器，您在飛艇上放置的每一個零部件都會影響飛艇的對應性能。在戰鬥中，若一個零部件被徹底摧毀，飛艇將失去該部分增加的性能優勢。以下是具體的飛艇性能參數：
howto_airshipparameters_head,AIRSHIP PARAMETERS,飞艇参数,飛艇參數
howto_firecontrol_head,FIRE CONTROL PALETTE AND FIRING CHAIN PRESET,火力控制及发射链预设,火力控制及發射鏈預設
howto_firecontrol1,Fire control palette displays weapon types available on each side of the ship. There are three symbolic bottons which appear only if that weapon type is available in that direction of a ship.,火力控制面板显示了飞艇每侧的可用武器类型，只有当该武器类型在飞艇某方向可用时，会出现三个象征性的显示。,火力控制面板顯示了飛艇每側的可用武器類型，只有當該武器類型在飛艇某方向可用時，會出現三個象徵性的顯示。
howto_firecontrol2,"You can customize the ship firing behavior by activate/deactivate weapon type icons on each side, and the configuration will save permanently with each ship. you can switch between presets by clicking on the preset’s button.",您可以通过图标，激活/停用每侧的武器类型，来自定义飞艇的射击行为，该设置将以飞艇为单位永久保存。您可以通过单击预设按钮切换状态。,您可以通過圖示，啟動/停用每側的武器類型，來自定義飛艇的射擊行為，該設置將以飛艇為單位永久保存。您可以通過單擊預設按鈕切換狀態。
howto_firecontrol3,WEAPON STATUS:,武器状态：,武器狀態：
howto_firecontrol4,"Available :                   Display in <style=""lawngreen"">Green</style>
Deactivated :               Display in White 
Destroyed :                  Display in <style=""tomato"">Red</style>
Being reloaded :         Display in <style=""grey"">Darker color</style>","可用：               显示为<style=""lawngreen"">绿色</style>
已停用：           显示为白色
被摧毁：           显示为<style=""tomato"">红色</style>
重新装填弹药：显示为<style=""grey"">灰色</style>","可用： 顯示為<style=""lawngreen"">綠色</style>
已停用： 顯示為白色
被摧毀： 顯示為<style=""tomato"">紅色</style>
重新裝填彈藥：顯示為<style=""grey"">灰色</style>"
howto_firecontrol5,WEAPON TYPES:,武器类型：,武器類型：
howto_firecontrol6,"Direct Fire Weapons:         
<style=""grey"">Streams, Bullets,         
Shells, and Lances</style>

Guided Missile:                 
<style=""grey"">Guided, powerful,         
but consume high 
amount of ammo</style>

Torpedos:                         
<style=""grey"">Unguided, very powerful,         
consume a very high 
amount of ammo</style>

Mines:                        
<style=""grey"">Stationary, very powerful,         
consume a high 
amount of ammo</style>","直接火力武器：         
<style=""grey"">连发，可用子弹，
可用炮弹，可用长矛</style>

定向导弹：                 
<style=""grey"">定向，强力，
弹药消耗大</style>

鱼雷                         
<style=""grey"">非定向，非常强力，
弹药消耗非常大</style>

水雷：                        
<style=""grey"">静止投放，非常强力，
弹药消耗大</style>","直接火力武器： 
<style=""grey"">連發，可用子彈，
可用炮彈，可用長矛</style>

定向導彈： 
<style=""grey"">定向，強力，
彈藥消耗大</style>

魚雷 
<style=""grey"">非定向，非常強力，
彈藥消耗非常大</style>

水雷： 
<style=""grey"">靜止投放，非常強力，
彈藥消耗大</style>"
howto_manageyourship_head,MANAGE YOUR SHIP ROSTER,飞艇名册,飛艇名冊
howto_manageyourship1,"Along your journey, you will gain access to more ships with varying strengths and weaknesses. Once acquired, your new ships would show up in the ship Roster. This list helps you keep track of where about you kept them or what tasks you have put them to.",在您的旅程中，将有机会获得更多不同的飞艇，一旦您收获了一架飞艇，将立刻出现在飞艇名册中。该列表可以帮助您定位该飞艇被放置在何处，或是您将其派遣至哪个任务。,在您的旅程中，將有機會獲得更多不同的飛艇，一旦您收穫了一架飛艇，將立刻出現在飛艇名冊中。該列表可以幫助您定位該飛艇被放置在何處，或是您將其派遣至哪個任務。
howto_manageyourship2,"While you can manage your roster anywhere,  you can switch between ships only once you are at the same port as they do. Do not forget to go to the shipyard and move your officers along if you need them on the new ship.",尽管您可以在任何地点、时间对飞艇名册进行查看和管理，但只有您与该飞艇处于同一港口时，才能在不同飞艇之间切换。如果您的新飞艇需要军官，请不要忘记前往造船厂调动他们。,儘管您可以在任何地點、時間對飛艇名冊進行查看和管理，但只有您與該飛艇處於同一港口時，才能在不同飛艇之間切換。如果您的新飛艇需要軍官，請不要忘記前往造船廠調動他們。
howto_manageitem_head,MANAGE YOUR ITEMS,物品管理,物品管理
howto_manageitem1,"Check out your belongings by clicking on the <style=""gold"">Cargo</style> and <style=""gold"">Treasury</style> buttons or visiting any available <style=""gold"">Warehouses</style>. Items in the ship’s cargo holds and warehouses are required space to store. On the contrary, treasures are things that you keep to yourself along with recognition of good and bad deeds you have done, these would always be with you wherever you go without any space requirement.","通过点击<style=""gold"">货舱</style>和<style=""gold"">宝库</style>按钮，或查看任何可用的仓库，以检查您拥有的物品。船上货舱及仓库装载的物品都需要对用空间存放，相反，伴随着您所作的善举或恶行，您可以永远保留这些宝藏，且不需要消耗任何存放空间。","通過點擊<style=""gold"">貨艙</style>和<style=""gold"">寶庫</style>按鈕，或查看任何可用的倉庫，以檢查您擁有的物品。船上貨艙及倉庫裝載的物品都需要對用空間存放，相反，伴隨著您所作的善舉或惡行，您可以永遠保留這些寶藏，且不需要消耗任何存放空間。"
howto_manageitem2,Select the primary inventory from any nearby ship or visit your treasury,选择附近任何一艘飞艇的主要库存，或查看您的宝库,選擇附近任何一艘飛艇的主要庫存，或查看您的寶庫
howto_manageitem3,"Select and transfer item with any port or ship in vicinity, or explore any other known inventory",选择并转移附近的港口或飞艇的物品，或者探索其他任何已知的库存物品,選擇並轉移附近的港口或飛艇的物品，或者探索其他任何已知的庫存物品
howto_officers_head,OFFICER’S PROFILE AND PERSONAL QUESTS,军官简介及个人任务,軍官簡介及個人任務
howto_officers1,"Along your journey, you will be able to recruit officers whom you can assign to positions onboard your ships or have them manage your port businesses. And with combat experience, they will level up and become stronger. Your officers came with their talents, background, and their own quests, you can check them out by visiting their panels.",在您的征程中，您也可以自行招募军官，并将其分配至飞艇的各个职位，或者安排他们管理您的港口。随着战斗经验的积累，他们也会逐渐成长和愈加强大。您的军官有着各自的天赋、背景及个人任务，您可以通过访问其面板查看。,在您的征程中，您也可以自行招募軍官，並將其分配至飛艇的各個職位，或者安排他們管理您的港口。隨著戰鬥經驗的積累，他們也會逐漸成長和愈加強大。您的軍官有著各自的天賦、背景及個人任務，您可以通過訪問其面板查看。
howto_officers2,OFFICER’S INFORMATION,军官信息,軍官資訊
howto_officers3,OFFICER’S CAREER,军官生涯,軍官生涯
howto_officers4,OFFICER’S QUEST,军官任务,軍官任務
howto_officers5,"Select between Profile Tab, Bio Tab and Career Tab to reveal more information about your officers.",可以通过切换简介、个人履历以及职业选项卡来查看有关您的军官更多信息。,可以通過切換簡介、個人履歷以及職業選項卡來查看有關您的軍官更多資訊。
howto_officers6,Select the Career Tab to view all officer’s traits and tactics. Hover the mouse cursor over the talents for more information.,选择职业选项卡，可以查看所有军官的特点及战术优势，将鼠标悬停在天赋之上，以获取更多信息。,選擇職業選項卡，可以查看所有軍官的特點及戰術優勢，將滑鼠懸停在天賦之上，以獲取更多資訊。
howto_officers7,"Select the Quest Tab to check out their ongoing quests. To find out more about the quest items, hover the mouse over them.",选择任务选项卡可以查看他们正在进行的任务，若想了解更多任务相关信息，请将鼠标悬停在上面。,選擇任務選項卡可以查看他們正在進行的任務，若想瞭解更多任務相關資訊，請將滑鼠懸停在上面。
howto_basicmovement_head,BASIC MOVEMENT CONTROLS,基本移动控制,基本移動控制
howto_basicmovement1,"You will be spending a lot of time controlling your ship in the air - while traveling, and during battles. There are 2 ways to sail your ship around: mouse control and <style=""gold"">WASDQE</style> keyboard control.","无论是旅行还是战斗，您将花费大量时间在控制飞艇移动方面，有两种方式可以使您的飞艇四处移动：鼠标控制以及键盘上的<style=""gold"">WASDQE</style>键。","無論是旅行還是戰鬥，您將花費大量時間在控制飛艇移動方面，有兩種方式可以使您的飛艇四處移動：滑鼠控制以及鍵盤上的<style=""gold"">WASDQE</style>鍵。"
howto_basicmovement2,MOUSE CONTROL,鼠标控制,滑鼠控制
howto_basicmovement3,KEYBOARD CONTROL,键盘控制,鍵盤控制
howto_basicmovement4,STRAFE MOVEMENT,攻击行为,攻擊行為
howto_basicmovement5,"<style=""gold"">L.Click</style> anywhere on the screen to dictate your ship’s moving direction (indicated by the directional arrow). The further away from the ship you click, the faster you sail.","<style=""gold"">左键单击</style>屏幕上的任意位置确定飞艇移动方向（以方向箭头显示）。您的点击位置距离飞艇越远，航行速度就越快。","<style=""gold"">左鍵單擊</style>螢幕上的任意位置確定飛艇移動方向（以方向箭頭顯示）。您的點擊位置距離飛艇越遠，航行速度就越快。"
howto_basicmovement6,Move back and forth,来回移动,來回移動
howto_basicmovement7,Rotate your ship,旋转飞艇,旋轉飛艇
howto_basicmovement8,Strafe left or right,攻击左侧或右侧,攻擊左側或右側
howto_travelmode_head,TRAVEL MODES AND GAME SPEED CONTROL,航行模式与游戏速度控制,旅行模式與遊戲速度控制
howto_travelmode1,"In this <style=""gold"">Travel Screen</style>, you can command your ships to go wherever you like. And there is a couple of ways to do so. You can take charge and pilot the ship yourself or plot your course and let Jean and the crew takes care of the rest.","在<style=""gold"">旅行界面</style>中，您可以命令飞艇前往任何想去的地方，有两种方式可以做到这一点——亲自驾驶飞艇，或提前规划航线，安排吉恩和其他船员按计划行驶。","在<style=""gold"">旅行介面</style>中，您可以命令飛艇前往任何想去的地方，有兩種方式可以做到這一點——親自駕駛飛艇，或提前規劃航線，安排吉恩和其他船員按計畫行駛。"
howto_travelmode2,Press     to toggle between travel modes,按下      以切换行驶模式,按下 以切換行駛模式
howto_travelmode3,"Pause    



X1 Speed    



X10 Speed","暂停    



X1 倍速    



X10 倍速","暫停 



X1 倍速 



X10 倍速"
howto_travelmode4,"Go to the<style=""gold""> Navigation Chart</style> to select your destination by clicking on the mini-map panel","打开<style=""gold"">导航图</style>，通过在迷你地图上单击以选择您的目的地。","打開<style=""gold"">導航圖</style>，通過在迷你地圖上單擊以選擇您的目的地。"
howto_travelmode5,The directional indicator will turn yellow when the ship is in autopilot mode,当飞艇处于自动驾驶模式时，方向指示灯将变为黄色。,當飛艇處於自動駕駛模式時，方向指示燈將變為黃色。
howto_travelmode6,Pause / Play Toggle,切换暂停/继续,切換暫停/繼續
howto_travelmode7,Game Speed Toggle,切换游戏速度,切換遊戲速度
howto_travelmode8,Adjust game speed by pressing designated buttons or using the panel on the Top-right of the screen.,通过按下指定按钮，或使用屏幕右上角的面板来调整游戏速度。,通過按下指定按鈕，或使用螢幕右上角的面板來調整遊戲速度。
howto_encounter1,"Once you discover new encounters, travel to them by clicking on their panel and select <style=""gold"">Go to location </style>, Additional interaction option will be available once they are nearby. All port interaction will be halted if you run into blockades, defeat them first. There are several types of skyfarer. Some are hostiles pirates and marauders, but most of them are harmless individuals. Hostile fleet will spend some time assessing the situation but they will eventually start the fight.","一旦您发现了新的遭遇事件，点击其面板并选择<style=""gold"">前往该地点</style>，行驶至附近时，将向您提供额外的互动选项。如果遭遇封锁，所有端口交互都将被禁用，您必须先击败对方。

存在几种类型的遭遇对象，有些事敌对势力，海盗和掠夺者，但他们中的大多数并不会造成威胁。若遭遇敌对舰队，则需要花费一些时间评估局势，但终将发动战争。","一旦您發現了新的遭遇事件，點擊其面板並選擇<style=""gold"">前往該地點</style>，行駛至附近時，將向您提供額外的互動選項。如果遭遇封鎖，所有端口交互都將被禁用，您必須先擊敗對方。

存在幾種類型的遭遇對象，有些事敵對勢力，海盜和掠奪者，但他們中的大多數並不會造成威脅。若遭遇敵對艦隊，則需要花費一些時間評估局勢，但終將發動戰爭。"
howto_encounter2,"There are several types of skyfarer. Some are hostiles pirates and marauders, but most of them are harmless individuals. Hostile fleet will spend some time assessing the situation but they will eventually start the fight.",存在几种类型的遭遇对象，有些事敌对势力，海盗和掠夺者，但他们中的大多数并不会造成威胁。若遭遇敌对舰队，则需要花费一些时间评估局势，但终将发动战争。,存在幾種類型的遭遇對象，有些事敵對勢力，海盜和掠奪者，但他們中的大多數並不會造成威脅。若遭遇敵對艦隊，則需要花費一些時間評估局勢，但終將發動戰爭。
howto_encounter3,":Weak fleet



<style=""gold"">
:Strong fleet
</style>


<style=""tomato"">
:Very strong fleet  </style>","：脆弱的舰队



<style=""gold"">
：强大的舰队
</style>


<style=""tomato"">
：非常强大的舰队</style>","：脆弱的艦隊



<style=""gold"">
：強大的艦隊
</style>


<style=""tomato"">
：非常強大的艦隊</style>"
howto_encounter4,Choose how you would interact with places and fleet encounters,选择地点和遭遇舰队队的互动方式,選擇地點和遭遇艦隊隊的互動方式
howto_encounter5,You can view each encounter information by clicking on their encounter panel.,您可以通过单击遭遇事件的面板查看更多信息。,您可以通過單擊遭遇事件的面板查看更多資訊。
howto_encounter6,All fleet encounters will be labled with a power level number which represents their combat capability,所有的舰队遭遇战都将通过数字标记其作战能力。,所有的艦隊遭遇戰都將通過數字標記其作戰能力。
howto_typesofencounter_head,TYPES OF ENCOUNTER,遭遇类型,遭遇類型
howto_typesofencounter1,"On your journey in Airship: Kingdoms Adrift, there will be many of encounter types for the you to discover. You can interact with ports and fleets, gather treasure and resources in the sky or learn more about the lore of the game to enrich your gameplay experience, try to explore and interact with all of them as you see fit.",当您在《飞空艇时代：贸易帝国》中历险时，会遇到很多类型的遭遇事件。您可以通过与港口及舰队互动，收集天空中的宝藏与资源；还可以了解更多游戏剧情及故事，丰富游戏体验之后，尝试在合适的时间探索且进行互动。,當您在《飛空艇時代：貿易帝國》中歷險時，會遇到很多類型的遭遇事件。您可以通過與港口及艦隊互動，收集天空中的寶藏與資源；還可以瞭解更多遊戲劇情及故事，豐富遊戲體驗之後，嘗試在合適的時間探索且進行互動。
howto_typesofencounter_harvestable,HARVESTABLE,可获物品,可獲物品
howto_typesofencounter_spectacle,SPECTACLE,奇观,奇觀
howto_typesofencounter2,Engage in combat or have a peaceful interaction for non-hostile fleets,参与战斗或与非敌对舰队进行和平互动。,參與戰鬥或與非敵對艦隊進行和平互動。
howto_typesofencounter3,"Make a business transaction, customize ships or pursue a story quest.",可进行商业贸易、定制飞艇或探索故事。,可進行商業貿易、定制飛艇或探索故事。
howto_typesofencounter4,"Havest valueble items from the balloons, floatsams and resource nodes",热气球、漂浮物或资源节点处可获取有价值的物品。,熱氣球、漂浮物或資源節點處可獲取有價值的物品。
howto_typesofencounter5,Discover the spectacle encounter to learn more about the world of Airship: Kingdoms Adrift,探索壮丽的奇观，可以了解更多关于《飞空艇时代：贸易帝国》的故事。,探索壯麗的奇觀，可以瞭解更多關於《飛空艇時代：貿易帝國》的故事。
howto_typesofencounter6,Explore the encounters to progress through their questlines,探索遭遇事件以完成任务。,探索遭遇事件以完成任務。
howto_navigation_head,NAVIGATION CHART,导航图,導航圖
howto_navigation1,"Since you have acquired the navigation chart of Europa and the Segson Archipelago before you arrived, you can check out and navigate the archipelago anytime during travel by opening up the ""Navigation Chart"". You can check out details of items on the map by clicking on them or selecting them from the side panel to the right of the chart. You can select the destination then plot the course to have Jean and the crew handles the voyage from here as well.",在您开始历险之前，已经获取到欧罗巴以及萨斯赛克群岛的导航图，因此，您可以在旅程的任意时间打开“导航图”查看并定向造访。您可以通过单击地图上的物品查看详细信息，或者在导航图右侧面板选中它们。您也可以选择目的地，指定航线，交由吉恩和其他船员定向操作。,在您開始歷險之前，已經獲取到歐羅巴以及薩斯賽克群島的導航圖，因此，您可以在旅程的任意時間打開“導航圖”查看並定向造訪。您可以通過單擊地圖上的物品查看詳細資訊，或者在導航圖右側面板選中它們。您也可以選擇目的地，指定航線，交由吉恩和其他船員定向操作。
howto_navigation2,Check or select your destination by clicking on an icon on the map or selecting from the list to the side of the screen.Right Click anywhere to deselect the currently selected destination.,通过单击地图上的图标或在侧边的列表中进行目的地的选定和检查。右键单击任意位置，可取消当前选定的目的地。,通過單擊地圖上的圖示或在側邊的列表中進行目的地的選定和檢查。右鍵單擊任意位置，可取消當前選定的目的地。
howto_navigation3,Manage your voyage with the Destination panel,通过目的地面板管理您的航线,通過目的地面板管理您的航線
howto_navigation4,Click to Issue the Go to order,点击以发布航行命令,點擊以發佈航行命令
howto_navigation5,Click to pause the voyage,点击以暂停航行,點擊以暫停航行
howto_navigation6,Click to stop the voyage,点击以停止航行,點擊以停止航行
howto_firingcontrol_head,FIRING CONTROL,开火控制,開火控制
howto_firingcontrol1,"Press <style=""gold"">SPACE</style> to activate your weapons. You can dumb fire all types of <style=""gold"">torpedoes</style>, but <style=""gold"">missiles</style> and <style=""gold"">cannons</style> require a target within range to fire.","按下<style=""gold"">空格键</style>以激活您的武器，所有类型的<style=""gold"">鱼雷</style>都可以随意发射，但<style=""gold"">导弹</style>与<style=""gold"">大炮</style>的发射需要敌方处于射程内。","按下<style=""gold"">空格鍵</style>以啟動您的武器，所有類型的<style=""gold"">魚雷</style>都可以隨意發射，但<style=""gold"">導彈</style>與<style=""gold"">大炮</style>的發射需要敵方處於射程內。"
howto_firingrange_head,FIRING RANGE,武器射程,武器射程
howto_firingrange1,"When in battle, study your enemy’s combat styles and capabilities using their ship’s blueprint on the bottom-right of the screen. Once battle starts, click on any ship’s blueprint to view more information to help you strategize your plan of attack.",处于战斗状态时，可以通过屏幕右下键的飞艇蓝图来研究敌方的作战风格和能力。战斗过程中，点击任何船只的蓝图都可以查看更多信息，帮助您制定作战计划。,處於戰鬥狀態時，可以通過螢幕右下鍵的飛艇藍圖來研究敵方的作戰風格和能力。戰鬥過程中，點擊任何船隻的藍圖都可以查看更多資訊，幫助您制定作戰計畫。
howto_firingrange2,This ship has firing arcs covering its bow (front) and port (left side) sides.,此飞艇的船头（前部）和左舷（左侧）显示出射击范围。,此飛艇的船頭（前部）和左舷（左側）顯示出射擊範圍。
howto_firingrange3,"The <style=""tomato"">red</style>-<style=""gold"">yellow</style>-<style=""lawngreen"">green</style> lines of your ship indicate your weapon effectiveness                 (<style=""lawngreen"">Green = most damage dealt</style>, <style=""tomato"">Red = least damage dealt</style>).","这条<style=""tomato"">红</style>-<style=""gold"">黄</style>-<style=""lawngreen"">绿</style>线表示了您飞艇的武器有效性。
（<style=""lawngreen"">绿色部分=伤害效能最高</style>, <style=""tomato"">红色=伤害效能最低</style>）。","這條<style=""tomato"">紅</style>-<style=""gold"">黃</style>-<style=""lawngreen"">綠</style>線表示了您飛艇的武器有效性。
（<style=""lawngreen"">綠色部分=傷害效能最高</style>, <style=""tomato"">紅色=傷害效能最低</style>）。"
howto_officertactic1,"Your officers will play a large role during combat. They will always be at your disposal to assign duties. By <style=""gold"">Activating their unique tactics</style>, new opportunities can be available, like boosting your ship’s performance, allocating/managing resources, or bringing new strategic advantages. Activate their unique tactics from the <style=""gold"">‘Tactics’ tab</style>.","您的军官将在战斗中扮演重要角色，您可以随时给他们分派任务。您可以通过<style=""gold"">激活他们的特殊战术</style>获得新的优势，比如提高飞艇性能、分配/管理资源、增加新的战略优势。在军官<style=""gold"">战术选项卡</style>中可以激活他们的特殊战术。","您的軍官將在戰鬥中扮演重要角色，您可以隨時給他們分派任務。您可以通過<style=""gold"">啟動他們的特殊戰術</style>獲得新的優勢，比如提高飛艇性能、分配/管理資源、增加新的戰略優勢。在軍官<style=""gold"">戰術選項卡</style>中可以啟動他們的特殊戰術。"
howto_officertactic2,"<style=""gold"">Hover cursor</style> over the officers’ panel or use <style=""gold"">arrow keys</style> to expand ‘Tactic' list","通过在军官面板<style=""gold"">悬停鼠标</style>或使用<style=""gold"">方向键</style>可以展开战术列表。","通過在軍官面板<style=""gold"">懸停滑鼠</style>或使用<style=""gold"">方向鍵</style>可以展開戰術列表。"
howto_officertactic3,Each officer has their own unique talent set.,每个军官都有自己的特殊天赋。,每個軍官都有自己的特殊天賦。
howto_officertactic4,See Pros and Cons of each tactic in the ‘Talent Tooltip’ panel.,可以在天赋工具提示面板中查看每一个天赋的优势与劣势。,可以在天賦工具提示面板中查看每一個天賦的優勢與劣勢。
howto_officertactic5,"You can override the ship control from officers by activating their manaul combat tactics, which can also provide additional benefits.",您可以通过激活军官的战斗战术来改变他们对飞艇的控制，这也可以提供额外的优势。,您可以通過啟動軍官的戰鬥戰術來改變他們對飛艇的控制，這也可以提供額外的優勢。
howto_rammingboarding_head,"RAMMING, BOARDING, AND CREW SYSTEMS",撞击，登船与船员系统,撞擊，登船與船員系統
howto_rammingboarding1,"Close quarter combat is always available to you. Ram your ship into the enemy’s ship to deal significant damage, or bring your ship closer to initiate a boarding sequence.",您可以随时使用近距离战斗，即将您的飞艇撞向敌方以造成重大伤害，或者将您的飞艇靠近敌方，开启强行登船序列。,您可以隨時使用近距離戰鬥，即將您的飛艇撞向敵方以造成重大傷害，或者將您的飛艇靠近敵方，開啟強行登船序列。
howto_rammingboarding2,"When boarding, both ship’s crews will attack, as long as both ships are within boarding range. The fleet with no crew standing will have no choice but to surrender.",选择登船攻击时，只要两艘飞艇处于可登船范围内，双方船员都会互相攻击以及登上对方飞艇。,選擇登船攻擊時，只要兩艘飛艇處於可登船範圍內，雙方船員都會互相攻擊以及登上對方飛艇。
howto_rammingboarding3,"When in close proximity with the enemy, the skull icon represents the boarding sequence. As soon as the skull bar is full, crews from both sides will begin boarding the enemy ship.",当靠近敌方飞艇时，头骨图标表示登船序列，一旦进度条满，双方船员就会开始相互攻占飞艇。,當靠近敵方飛艇時，頭骨圖示表示登船序列，一旦進度條滿，雙方船員就會開始相互攻佔飛艇。
howto_rammingboarding4,The sword represents your boarding strength and the shield represents your defense.,剑代表您的登船武力值，盾牌代表您的防御值。,劍代表您的登船武力值，盾牌代表您的防禦值。
howto_surrenderordestroy_head,SURRENDER OR DESTROY SHIP,投降或摧毁飞艇,投降或摧毀飛艇
howto_surrenderordestroy1,"Each part of the ship can be wrecked individually. If <style=""gold"">Command parts</style>, <style=""gold"">Power Plants</style>, or <style=""gold"">Drives</style> health reaches zero, 		that ship will capsize. A defeat will result in <style=""gold"">GAME OVER</style>. The player can then choose to retry the encounter with the lastest save file or load another file for an alternative path. ","飞艇的每一个部分都可以被单独损坏，但如果是<style=""gold"">指挥部件</style>，<style=""gold"">能源装置</style>或是<style=""gold"">驱动装置</style>的生命值达到0，则会导致飞艇倾覆，<style=""gold"">游戏结束</style>。
您可以通过加载最后一个存档重启遭遇战，或是加载其他存档以避开遭遇战。","飛艇的每一個部分都可以被單獨損壞，但如果是<style=""gold"">指揮部件</style>，<style=""gold"">能源裝置</style>或是<style=""gold"">驅動裝置</style>的生命值達到0，則會導致飛艇傾覆，<style=""gold"">遊戲結束</style>。
您可以通過加載最後一個存檔重啟遭遇戰，或是加載其他存檔以避開遭遇戰。"
